date,price
2014-12-15,18950.0
2014-12-16,18750.0
2014-12-17,18750.0
2014-12-18,18700.0
2014-12-19,18650.0
2014-12-20,18650.0
2014-12-22,18650.0
2014-12-23,18400.0
2014-12-24,18400.0
2014-12-25,18350.0
2014-12-26,18500.0
2014-12-27,18650.0
2014-12-29,18650.0
2014-12-30,18550.0
2015-01-02,18550.0
2015-01-03,18650.0
2015-01-05,18700.0
2015-01-06,18800.0
2015-01-07,18950.0
2015-01-08,18900.0
2015-01-09,18850.0
2015-01-10,19000.0
2015-01-12,19100.0
2015-01-13,19250.0
2015-01-14,19150.0
2015-01-15,19100.0
2015-01-16,19500.0
2015-01-17,19700.0
2015-01-19,19700.0
2015-01-20,19800.0
2015-01-21,20100.0
2015-01-22,19950.0
2015-01-23,20050.0
2015-01-24,19950.0
2015-01-26,20000.0
2015-01-27,19750.0
2015-01-28,19950.0
2015-01-29,19800.0
2015-01-30,19600.0
2015-01-31,19900.0
2015-02-02,19800.0
2015-02-03,19650.0
2015-02-04,19500.0
2015-02-05,19650.0
2015-02-06,19550.0
2015-02-07,19150.0
2015-02-09,19200.0
2015-02-10,19250.0
2015-02-11,19150.0
2015-02-12,18950.0
2015-02-13,19000.0
2015-02-14,19050.0
2015-02-16,19050.0
2015-02-17,19050.0
2015-02-18,18700.0
2015-02-19,18800.0
2015-02-20,18650.0
2015-02-21,18600.0
2015-02-23,18600.0
2015-02-24,18600.0
2015-02-25,18650.0
2015-02-26,18650.0
2015-02-27,18600.0
2015-02-28,18650.0
2015-03-02,18750.0
2015-03-03,18450.0
2015-03-05,18500.0
2015-03-06,18450.0
2015-03-07,18150.0
2015-03-09,18100.0
2015-03-10,18100.0
2015-03-11,18050.0
2015-03-12,18000.0
2015-03-13,18050.0
2015-03-14,18150.0
2015-03-16,18100.0
2015-03-17,18050.0
2015-03-18,18000.0
2015-03-19,18200.0
2015-03-20,18200.0
2015-03-21,18300.0
2015-03-23,18300.0
2015-03-24,18300.0
2015-03-25,18350.0
2015-03-26,18500.0
2015-03-27,18550.0
2015-03-28,18550.0
2015-03-30,18500.0
2015-03-31,18300.0
2015-04-01,18350.0
2015-04-02,18500.0
2015-04-03,18500.0
2015-04-04,18500.0
2015-04-07,18700.0
2015-04-08,18650.0
2015-04-09,18500.0
2015-04-10,18450.0
2015-04-11,18600.0
2015-04-16,18550.0
2015-04-17,18450.0
2015-04-18,18500.0
2015-04-20,18500.0
2015-04-21,18400.0
2015-04-22,18450.0
2015-04-23,18250.0
2015-04-24,18350.0
2015-04-25,18250.0
2015-04-27,18300.0
2015-04-28,18550.0
2015-04-29,18700.0
2015-04-30,18750.0
2015-05-02,18550.0
2015-05-04,18650.0
2015-05-06,18850.0
2015-05-07,18750.0
2015-05-08,18800.0
2015-05-09,18850.0
2015-05-11,18900.0
2015-05-12,18950.0
2015-05-13,19000.0
2015-05-14,19200.0
2015-05-15,19350.0
2015-05-16,19400.0
2015-05-18,19400.0
2015-05-19,19350.0
2015-05-20,19250.0
2015-05-21,19250.0
2015-05-22,19100.0
2015-05-23,19150.0
2015-05-25,19150.0
2015-05-26,19200.0
2015-05-27,19050.0
2015-05-28,19050.0
2015-05-29,19000.0
2015-05-30,19000.0
2015-06-02,19000.0
2015-06-03,19100.0
2015-06-04,18900.0
2015-06-05,18850.0
2015-06-06,18850.0
2015-06-08,18850.0
2015-06-09,18800.0
2015-06-10,18850.0
2015-06-11,18900.0
2015-06-12,18900.0
2015-06-13,18850.0
2015-06-15,18900.0
2015-06-16,18900.0
2015-06-17,18850.0
2015-06-18,18900.0
2015-06-19,19150.0
2015-06-20,19150.0
2015-06-22,19100.0
2015-06-23,18950.0
2015-06-24,18850.0
2015-06-25,18850.0
2015-06-26,18850.0
2015-06-27,18850.0
2015-06-29,18950.0
2015-06-30,18850.0
2015-07-01,18800.0
2015-07-02,18750.0
2015-07-03,18700.0
2015-07-04,18750.0
2015-07-06,18750.0
2015-07-07,18750.0
2015-07-08,18600.0
2015-07-09,18650.0
2015-07-10,18700.0
2015-07-11,18750.0
2015-07-13,18750.0
2015-07-14,18650.0
2015-07-15,18650.0
2015-07-16,18600.0
2015-07-17,18600.0
2015-07-18,18450.0
2015-07-20,18100.0
2015-07-21,18100.0
2015-07-22,18050.0
2015-07-23,18100.0
2015-07-24,17950.0
2015-07-25,18200.0
2015-07-27,18150.0
2015-07-28,18100.0
2015-07-29,18150.0
2015-07-31,18100.0
2015-08-01,18150.0
2015-08-03,18200.0
2015-08-04,18100.0
2015-08-05,18100.0
2015-08-06,18100.0
2015-08-07,18150.0
2015-08-08,18200.0
2015-08-10,18200.0
2015-08-11,18400.0
2015-08-13,18700.0
2015-08-14,18600.0
2015-08-15,18600.0
2015-08-17,18700.0
2015-08-18,18800.0
2015-08-19,18850.0
2015-08-20,19100.0
2015-08-21,19650.0
2015-08-22,19550.0
2015-08-24,19650.0
2015-08-25,19450.0
2015-08-26,19200.0
2015-08-27,19050.0
2015-08-28,19150.0
2015-08-29,19250.0
2015-08-31,19250.0
2015-09-01,19300.0
2015-09-02,19300.0
2015-09-03,19250.0
2015-09-04,19100.0
2015-09-05,19100.0
2015-09-07,19150.0
2015-09-08,19200.0
2015-09-09,19150.0
2015-09-10,19000.0
2015-09-11,19000.0
2015-09-12,18950.0
2015-09-14,18950.0
2015-09-15,18900.0
2015-09-16,18850.0
2015-09-17,19050.0
2015-09-18,19150.0
2015-09-19,19200.0
2015-09-21,19250.0
2015-09-22,19300.0
2015-09-23,19250.0
2015-09-24,19450.0
2015-09-25,19700.0
2015-09-26,19600.0
2015-09-28,19650.0
2015-09-29,19550.0
2015-09-30,19400.0
2015-10-01,19250.0
2015-10-02,19300.0
2015-10-03,19600.0
2015-10-05,19600.0
2015-10-06,19550.0
2015-10-07,19700.0
2015-10-08,19500.0
2015-10-09,19350.0
2015-10-10,19450.0
2015-10-12,19500.0
2015-10-13,19450.0
2015-10-14,19800.0
2015-10-15,19750.0
2015-10-16,19700.0
2015-10-17,19700.0
2015-10-19,19650.0
2015-10-20,19650.0
2015-10-21,19750.0
2015-10-22,19650.0
2015-10-24,19650.0
2015-10-26,19650.0
2015-10-27,19600.0
2015-10-28,19650.0
2015-10-29,19650.0
2015-10-30,19400.0
2015-10-31,19350.0
2015-11-02,19250.0
2015-11-03,19150.0
2015-11-04,18900.0
2015-11-05,18750.0
2015-11-06,18750.0
2015-11-07,18600.0
2015-11-09,18600.0
2015-11-10,18650.0
2015-11-11,18600.0
2015-11-12,18500.0
2015-11-13,18450.0
2015-11-14,18550.0
2015-11-16,18600.0
2015-11-17,18500.0
2015-11-18,18300.0
2015-11-19,18400.0
2015-11-20,18400.0
2015-11-21,18350.0
2015-11-23,18200.0
2015-11-24,18250.0
2015-11-25,18300.0
2015-11-26,18200.0
2015-11-27,18200.0
2015-11-28,18050.0
2015-11-30,18000.0
2015-12-01,18200.0
2015-12-02,18150.0
2015-12-03,17950.0
2015-12-04,18050.0
2015-12-07,18400.0
2015-12-08,18200.0
2015-12-09,18350.0
2015-12-10,18350.0
2015-12-15,18250.0
2015-12-16,18150.0
2015-12-17,18250.0
2015-12-18,18150.0
2015-12-19,18250.0
2015-12-21,18300.0
2015-12-22,18450.0
2015-12-23,18350.0
2015-12-24,18350.0
2015-12-25,18400.0
2015-12-26,18400.0
2015-12-28,18350.0
2015-12-29,18350.0
2015-12-30,18350.0
2016-01-02,18200.0
2016-01-04,18250.0
2016-01-05,18450.0
2016-01-06,18500.0
2016-01-07,18900.0
2016-01-08,18950.0
2016-01-09,18950.0
2016-01-11,19000.0
2016-01-12,18850.0
2016-01-13,18650.0
2016-01-14,18800.0
2016-01-15,18600.0
2016-01-16,18750.0
2016-01-18,18800.0
2016-01-19,18750.0
2016-01-20,18750.0
2016-01-21,18900.0
2016-01-22,18850.0
2016-01-23,18750.0
2016-01-25,18750.0
2016-01-26,18900.0
2016-01-27,19000.0
2016-01-28,19000.0
2016-01-29,18900.0
2016-01-30,18900.0
2016-02-01,18950.0
2016-02-02,19000.0
2016-02-03,19100.0
2016-02-04,19250.0
2016-02-05,19450.0
2016-02-06,19700.0
2016-02-08,19600.0
2016-02-09,20050.0
2016-02-10,19950.0
2016-02-11,20100.0
2016-02-12,20650.0
2016-02-13,20800.0
2016-02-15,20700.0
2016-02-16,20200.0
2016-02-17,20300.0
2016-02-18,20350.0
2016-02-19,20700.0
2016-02-20,20700.0
2016-02-23,20550.0
2016-02-24,20750.0
2016-02-25,20850.0
2016-02-26,20900.0
2016-02-27,20700.0
2016-02-29,20750.0
2016-03-01,21000.0
2016-03-02,20750.0
2016-03-03,20850.0
2016-03-04,21100.0
2016-03-05,21050.0
2016-03-07,21150.0
2016-03-08,21300.0
2016-03-09,21050.0
2016-03-10,20950.0
2016-03-11,21250.0
2016-03-12,20800.0
2016-03-14,20900.0
2016-03-15,20500.0
2016-03-16,20500.0
2016-03-17,20700.0
2016-03-18,20850.0
2016-03-19,20750.0
2016-03-21,20750.0
2016-03-22,20600.0
2016-03-23,20600.0
2016-03-24,20400.0
2016-03-25,20400.0
2016-03-26,20400.0
2016-03-28,20300.0
2016-03-29,20450.0
2016-03-30,20700.0
2016-03-31,20500.0
2016-04-01,20500.0
2016-04-02,20400.0
2016-04-04,20300.0
2016-04-05,20500.0
2016-04-07,20450.0
2016-04-08,20600.0
2016-04-09,20600.0
2016-04-11,20750.0
2016-04-12,20800.0
2016-04-16,20550.0
2016-04-18,20550.0
2016-04-19,20450.0
2016-04-20,20700.0
2016-04-21,20750.0
2016-04-22,20750.0
2016-04-23,20500.0
2016-04-25,20550.0
2016-04-26,20650.0
2016-04-27,20700.0
2016-04-28,20650.0
2016-04-29,21100.0
2016-04-30,21300.0
2016-05-01,21300.0
2016-05-02,21350.0
2016-05-03,21350.0
2016-05-04,21300.0
2016-05-06,21300.0
2016-05-07,21350.0
2016-05-09,21400.0
2016-05-10,21150.0
2016-05-11,21200.0
2016-05-12,21250.0
2016-05-13,21200.0
2016-05-14,21300.0
2016-05-16,21400.0
2016-05-17,21400.0
2016-05-18,21500.0
2016-05-19,21300.0
2016-05-21,21200.0
2016-05-23,21200.0
2016-05-24,21150.0
2016-05-25,20850.0
2016-05-26,20800.0
2016-05-27,20500.0
2016-05-28,20550.0
2016-05-30,20450.0
2016-05-31,20550.0
2016-06-01,20600.0
2016-06-02,20550.0
2016-06-03,20450.0
2016-06-04,20750.0
2016-06-06,20800.0
2016-06-07,20800.0
2016-06-08,20800.0
2016-06-09,21000.0
2016-06-10,21150.0
2016-06-11,21200.0
2016-06-13,21250.0
2016-06-14,21350.0
2016-06-15,21500.0
2016-06-16,21650.0
2016-06-17,21450.0
2016-06-18,21600.0
2016-06-20,21450.0
2016-06-21,21500.0
2016-06-22,21200.0
2016-06-23,21100.0
2016-06-24,21700.0
2016-06-25,21950.0
2016-06-27,22200.0
2016-06-28,22100.0
2016-06-29,22050.0
2016-06-30,21950.0
2016-07-01,22050.0
2016-07-02,22200.0
2016-07-04,22350.0
2016-07-05,22350.0
2016-07-06,22750.0
2016-07-07,22800.0
2016-07-08,22600.0
2016-07-09,22750.0
2016-07-11,22750.0
2016-07-12,22600.0
2016-07-13,22300.0
2016-07-14,22350.0
2016-07-15,22050.0
2016-07-16,22150.0
2016-07-18,22050.0
2016-07-20,22100.0
2016-07-21,21850.0
2016-07-22,22000.0
2016-07-23,21950.0
2016-07-25,21850.0
2016-07-26,21900.0
2016-07-27,21900.0
2016-07-28,22100.0
2016-07-29,22100.0
2016-07-30,22200.0
2016-08-01,22250.0
2016-08-02,22250.0
2016-08-03,22450.0
2016-08-04,22450.0
2016-08-05,22500.0
2016-08-06,22250.0
2016-08-08,22200.0
2016-08-09,22100.0
2016-08-10,22200.0
2016-08-11,22150.0
2016-08-13,22050.0
2016-08-15,22100.0
2016-08-16,22050.0
2016-08-17,22100.0
2016-08-18,22200.0
2016-08-19,22100.0
2016-08-20,22050.0
2016-08-22,21950.0
2016-08-23,21950.0
2016-08-24,21950.0
2016-08-25,21800.0
2016-08-26,21700.0
2016-08-27,21750.0
2016-08-29,21650.0
2016-08-30,21700.0
2016-08-31,21600.0
2016-09-01,21550.0
2016-09-02,21550.0
2016-09-03,21750.0
2016-09-05,21750.0
2016-09-06,21850.0
2016-09-07,22100.0
2016-09-08,22100.0
2016-09-09,22050.0
2016-09-10,21950.0
2016-09-12,21950.0
2016-09-13,22000.0
2016-09-14,21900.0
2016-09-15,21900.0
2016-09-16,21750.0
2016-09-17,21750.0
2016-09-19,21750.0
2016-09-20,21750.0
2016-09-21,21700.0
2016-09-22,21900.0
2016-09-23,21900.0
2016-09-24,21950.0
2016-09-26,21950.0
2016-09-27,21900.0
2016-09-28,21750.0
2016-09-29,21750.0
2016-09-30,21750.0
2016-10-01,21650.0
2016-10-03,21650.0
2016-10-04,21550.0
2016-10-05,21000.0
2016-10-06,20950.0
2016-10-07,20800.0
2016-10-08,20850.0
2016-10-10,20950.0
2016-10-11,21000.0
2016-10-12,21050.0
2016-10-13,21300.0
2016-10-14,21000.0
2016-10-22,21050.0
2016-10-25,21000.0
2016-10-26,21100.0
2016-10-27,21050.0
2016-10-28,21150.0
2016-10-29,21150.0
2016-10-31,21150.0
2016-11-01,21150.0
2016-11-02,21400.0
2016-11-03,21500.0
2016-11-04,21550.0
2016-11-05,21600.0
2016-11-07,21450.0
2016-11-08,21300.0
2016-11-09,21550.0
2016-11-10,21400.0
2016-11-11,21100.0
2016-11-12,20700.0
2016-11-14,20500.0
2016-11-15,20600.0
2016-11-16,20650.0
2016-11-17,20600.0
2016-11-18,20400.0
2016-11-19,20450.0
2016-11-21,20450.0
2016-11-22,20500.0
2016-11-23,20450.0
2016-11-24,20100.0
2016-11-25,19950.0
2016-11-26,20050.0
2016-11-28,20150.0
2016-11-29,20100.0
2016-11-30,20150.0
2016-12-01,19850.0
2016-12-02,19900.0
2016-12-03,19900.0
2016-12-06,19850.0
2016-12-07,19800.0
2016-12-08,19900.0
2016-12-09,19750.0
2016-12-10,19700.0
2016-12-12,19650.0
2016-12-13,19650.0
2016-12-14,19600.0
2016-12-15,19400.0
2016-12-16,19250.0
2016-12-17,19350.0
2016-12-19,19350.0
2016-12-20,19400.0
2016-12-21,19400.0
2016-12-22,19350.0
2016-12-23,19350.0
2016-12-24,19400.0
2016-12-26,19400.0
2016-12-27,19400.0
2016-12-28,19500.0
2016-12-29,19600.0
2016-12-30,19700.0
2017-01-03,19700.0
2017-01-04,19750.0
2017-01-05,19900.0
2017-01-06,19950.0
2017-01-07,19900.0
2017-01-09,19950.0
2017-01-10,20000.0
2017-01-11,20050.0
2017-01-12,20050.0
2017-01-13,20050.0
2017-01-14,20100.0
2017-01-16,20200.0
2017-01-17,20250.0
2017-01-18,20300.0
2017-01-19,20200.0
2017-01-20,20200.0
2017-01-21,20300.0
2017-01-23,20350.0
2017-01-24,20300.0
2017-01-25,20250.0
2017-01-26,20050.0
2017-01-27,19900.0
2017-01-28,19950.0
2017-01-30,19950.0
2017-01-31,20000.0
2017-02-01,20150.0
2017-02-02,20200.0
2017-02-03,20200.0
2017-02-04,20250.0
2017-02-06,20300.0
2017-02-07,20450.0
2017-02-08,20500.0
2017-02-09,20550.0
2017-02-10,20350.0
2017-02-13,20450.0
2017-02-14,20400.0
2017-02-15,20400.0
2017-02-16,20500.0
2017-02-17,20500.0
2017-02-18,20500.0
2017-02-20,20500.0
2017-02-21,20500.0
2017-02-22,20500.0
2017-02-23,20500.0
2017-02-24,20650.0
2017-02-25,20750.0
2017-02-27,20750.0
2017-02-28,20700.0
2017-03-01,20700.0
2017-03-02,20650.0
2017-03-03,20500.0
2017-03-04,20550.0
2017-03-06,20500.0
2017-03-07,20400.0
2017-03-08,20300.0
2017-03-09,20250.0
2017-03-10,20100.0
